"","tenure.0.5","tenure.18","tenure.6.17","InternetService.DSL","InternetService.Fiber.optic","InternetService.No","OnlineSecurity.No","OnlineSecurity.No.internet.service","OnlineSecurity.Yes","OnlineBackup.No","OnlineBackup.No.internet.service","OnlineBackup.Yes","DeviceProtection.No","DeviceProtection.No.internet.service","DeviceProtection.Yes","TechSupport.No","TechSupport.No.internet.service","TechSupport.Yes","StreamingTV.No","StreamingTV.No.internet.service","StreamingTV.Yes","StreamingMovies.No","StreamingMovies.No.internet.service","StreamingMovies.Yes","Contract.Month.to.month","Contract.One.year","Contract.Two.year","PaymentMethod.Bank.transfer.(automatic)","PaymentMethod.Credit.card.(automatic)","PaymentMethod.Electronic.check","PaymentMethod.Mailed.check","Partner","Dependents","PaperlessBilling","MonthlyCharges","TotalCharges","tenure.cont","target"
"11",0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,-0.492245572514971,-0.562555938855567,-0.78874421817084,"No"
"12",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,-1.5224865654708,-0.889533782396508,-0.666591799836798,"No"
"13",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1.1827268805487,1.28072505786733,1.04354205683979,"No"
"14",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1.29405937494877,1.15391028417985,0.677084801837664,"Yes"
"15",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1.35387981970104,0.551626125896815,-0.300134544834672,"No"
"16",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1.61144006794,1.64758593207804,1.49143425739794,"No"
"17",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1.46598947876032,-0.204903441525998,0.799237220171706,"No"
"18",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1.39376011620256,1.57020028317926,1.57286920295397,"No"
"19",0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,-0.317769275320838,-0.625357742768088,-0.910896636504882,"Yes"
"20",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.840421002244023,0.242822165013251,-0.463004435946728,"No"
"21",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,-0.83455145081965,-1.7296459257821,-1.27735389150701,"Yes"
"22",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,-1.49423802211556,-1.12287804624195,-0.829461690948854,"No"
"23",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.48260626896929,-1.91343688978917,-1.27735389150701,"Yes"
"24",0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,-0.161571447356567,0.79495108958038,1.04354205683979,"No"
"25",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,-0.171541521481946,0.641663813954032,0.677084801837664,"No"
"26",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,-0.314445917279045,0.08849554479437,-0.0965471809446023,"No"
"27",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1.14949330013077,1.0935053525586,0.595649856281636,"Yes"
"28",1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,-1.14860878576909,-1.8077607156159,-1.27735389150701,"Yes"
"29",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0.847067718327609,1.40475531886223,1.61358667573199,"No"
"30",0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,-0.00205026135050268,-0.158654581201215,-0.625874327058784,"Yes"
"31",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1.04979255887698,1.47187886319558,1.57286920295397,"No"
"32",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1.02154401552174,-1.17129114630536,-1.23663641872899,"No"
"33",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0.046138430255496,0.247803230938473,-0.218699599278644,"No"
"34",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-1.48094458994839,-1.91282600717995,-1.27735389150701,"No"
"35",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-0.648443400479242,-1.68959618462029,-1.27735389150701,"No"
"36",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1.16777176936063,1.54986498315982,1.61358667573199,"No"
"37",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.164117640739147,-0.905369767590197,-1.11448400039495,"Yes"
"38",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0.33360890087059,0.806550982489564,0.554932383503622,"No"
"39",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1.38212836305628,0.806804885852743,0.0663227101674537,"Yes"
"40",0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1.09964292950388,-0.150775048502951,-0.870179163726868,"Yes"
"41",0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,-0.505539004682143,-0.685880206863037,-0.910896636504882,"No"
"42",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0.147500850530182,1.11974655436465,1.53215173017596,"No"
"43",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,-1.46266612071853,-0.757908561812363,-0.625874327058784,"No"
"44",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0.501438481981137,1.1174449859493,1.24712942072986,"No"
"45",0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0.380135913455693,-0.233388045690701,-0.78874421817084,"No"
"46",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0.655974630924512,0.89893779795104,0.677084801837664,"No"
"47",1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-0.515509078807522,-1.4286803078278,-1.23663641872899,"No"
"48",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.528025346315481,-1.27105789427407,-1.23663641872899,"Yes"
"49",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0.498115123939344,0.974134016831104,0.799237220171706,"No"
"50",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,-0.0203287305803641,0.982635574807778,1.49143425739794,"No"
"51",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.847067718327609,0.881922635508325,0.43277996516958,"No"
"52",0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1.14118490502629,0.0349669360424938,-0.707309272614812,"Yes"
"53",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0.157470924655561,0.194076212886657,-0.300134544834672,"No"
"54",0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0.528025346315481,-0.517003996933982,-0.99233158206091,"Yes"
"55",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0.335270579891487,1.02903701742183,1.12497700239582,"No"
"56",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1.01988233650085,0.194030973888785,-0.58515685428077,"Yes"
"57",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1.15946337425615,1.39465833081825,1.24712942072986,"No"
"58",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1.45191888193394,1.52211696153656,1.3692818390639,"No"
"59",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,-1.32308508296322,-0.296261987882741,0.0663227101674537,"No"
"60",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1.4203469805369,1.64147373718576,1.61358667573199,"No"
"61",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1.18771191761139,1.08443259624086,0.595649856281636,"No"
"62",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.835435965181334,1.23670686677744,1.12497700239582,"No"
"63",0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,-0.753129178795721,0.639127922400953,1.61358667573199,"No"
"64",0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,-0.344356139655182,-0.250521754030567,-0.58515685428077,"No"
"65",0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0.984987077062019,-0.324381635272869,-0.951614109282896,"Yes"
"66",1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0.350225691079555,-1.03482764126906,-1.19591894595098,"No"
"67",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0.469866580584104,0.833540423739571,0.595649856281636,"No"
"68",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.479836654709483,0.487795757854414,-0.0558297081665883,"No"
"69",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,-1.48260626896929,-0.269324088779265,0.717802274615678,"No"
"70",0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0.501438481981137,-0.301469730889566,-0.910896636504882,"No"
"71",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-0.522155794891108,-1.66443910513319,-1.27735389150701,"No"
"72",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,-1.4742978738648,-0.160231968901298,0.799237220171706,"No"
"73",0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1.55660466025042,1.52572983559993,1.28784689350787,"No"
"74",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,-1.34634858925577,0.0340169932643565,1.20641194795185,"No"
"75",1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,-0.00869697743408878,-1.18178178755569,-1.19591894595098,"No"
"76",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1.52004772179069,1.36448574186725,0.962107111283762,"No"
"77",0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-0.30281416413277,0.55254695686757,0.554932383503622,"No"
"78",0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,-0.3360477445507,-0.678087146802061,-0.99233158206091,"No"
"79",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0.331947221849694,0.345235017783965,-0.0965471809446023,"No"
"80",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,-1.29151318156619,-0.0823499938264503,0.514214910725608,"No"
"81",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.484821691772172,-1.50258266553303,-1.27735389150701,"Yes"
"82",0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,-0.472305424264213,-0.58546423855792,-0.870179163726868,"No"
"83",0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0.345240654016866,-0.660938058482154,-1.03304905483892,"Yes"
"84",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1.29738273299056,0.999662029003653,0.392062492391566,"No"
"85",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,-1.48260626896929,-0.239052021635123,0.677084801837664,"No"
"86",0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1.14783162110988,-0.278177627623792,-0.951614109282896,"No"
"87",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,-0.0867958914162244,0.385508018817978,0.107040182945468,"No"
"88",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,-1.46598947876032,-0.182169017038821,0.63636732905965,"No"
"89",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,-1.48925298505287,-0.27208379119099,0.554932383503622,"No"
"90",0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,-1.03062957528544,-0.214209946508907,-0.137264653722616,"No"
"91",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0.574552358900583,0.512882894079767,-0.0965471809446023,"No"
"92",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.330285542828798,-1.52405181729049,-1.27735389150701,"No"
"93",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0.639357840715547,1.28694821736482,1.3692818390639,"No"
"94",0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1.53832619102055,1.52700385033779,1.32856436628589,"No"
"95",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1.20100534977856,1.58203806741323,1.61358667573199,"No"
"96",0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.471528259605,-0.271901972944453,-0.829461690948854,"Yes"
"97",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0.0694019365480466,1.09340857793579,1.57286920295397,"No"
"98",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.45269604659315,-1.36689819943909,-1.11448400039495,"Yes"
"99",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,-1.45435772561404,-0.149627437232337,0.799237220171706,"No"
"100",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1.12124475677553,0.493790034448409,-0.300134544834672,"Yes"
"101",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.48094458994839,-1.91282600717995,-1.27735389150701,"No"
"102",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,-1.50586977526184,-1.92210458625434,-1.27735389150701,"No"
"103",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.00492722531278,0.821775486601604,0.22919260127951,"No"
"104",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,-0.638473326353863,0.65892260368704,1.3692818390639,"No"
"105",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1.50343093158173,1.60532244613606,1.45071678461993,"Yes"
"106",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1.34468691023488,-1.41636837972418,-1.11448400039495,"No"
"107",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1.30901448613684,1.55789592470467,1.61358667573199,"No"
"108",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,-1.15027046478999,-0.27168383927594,-0.0151122353885743,"No"
"109",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0.983325398041122,0.902564880021981,0.43277996516958,"No"
"110",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,-1.50753145428273,0.00109093266182846,1.61358667573199,"No"
"111",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1.06308599104415,1.19499999401347,0.921389638505748,"Yes"
"112",0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,-0.22637692917153,0.663428032496638,0.799237220171706,"No"
"113",0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0.893594730912712,0.91067679771764,0.43277996516958,"No"
"114",0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0.390105987581072,0.610078414425184,0.188475128501496,"Yes"
"115",0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,-0.337709423571596,0.772745908232159,1.28784689350787,"No"
"116",1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0.833774286160437,-1.02643434703673,-1.19591894595098,"No"
"117",0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-1.12036024241385,-0.137503427761936,0.147757655723482,"No"
"118",0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1.17940352250691,-0.177136599195177,-0.910896636504882,"Yes"
"119",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1.46598947876032,-0.341588799907951,0.351345019613552,"No"
"120",0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0.679238137217063,0.360990434656711,-0.218699599278644,"No"
"121",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1.16444841131884,1.24921552663501,0.962107111283762,"No"
"122",0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.46432779973942,-1.37071700836693,-1.07376652761694,"No"
"123",1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.320315468703419,-1.06406948312235,-1.19591894595098,"Yes"
"124",0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,-0.467320387201523,-0.853249195974074,-1.03304905483892,"No"
"125",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,-1.45934276267673,-1.58333624759694,-1.15520147317297,"No"
"126",0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.8038640637843,0.659042964361345,0.0256052373894397,"No"
"127",0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.441618037228863,0.354722712324494,-0.218699599278644,"Yes"
"128",0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,-1.36961209554832,0.181012845213582,1.61358667573199,"No"
"129",1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,-1.49589970113646,-1.91836316387929,-1.27735389150701,"No"
"130",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,-0.276227299798425,0.918358808049312,1.57286920295397,"No"
